type_id;description_category_id;путь;тип товара;статус;ошибки
314014908;200001548;Аптека / Массажеры, коврики, акупунктура / Массажный коврик;Массажный коврик;другая ошибка;error_card_with_deleted_photos:0
970978680;200001548;Аптека / Массажеры, коврики, акупунктура / Массажер ручной;Массажер ручной;другая ошибка;error_card_with_deleted_photos:0
970985976;200001548;Аптека / Массажеры, коврики, акупунктура / Мяч массажный;Мяч массажный;не создано;
971943242;200001548;Аптека / Массажеры, коврики, акупунктура / Массажный валик;Массажный валик;не создано;
970877711;200001548;Аптека / Массажеры, коврики, акупунктура / Игла акупунктурная;Игла акупунктурная;не создано;
970621839;200001548;Аптека / Массажеры, коврики, акупунктура / Ванночка глазная;Ванночка глазная;не создано;
971049315;200000035;Аптека / Эстетическая косметология / Препарат для интимной пластики;Препарат для интимной пластики;другая ошибка;error_card_with_deleted_photos:0
98199;200000035;Аптека / Эстетическая косметология / Мезонити;Мезонити;другая ошибка;error_card_with_deleted_photos:0
971117712;200000035;Аптека / Эстетическая косметология / Филлер для контурной пластики;Филлер для контурной пластики;другая ошибка;error_card_with_deleted_photos:0
971913304;200000035;Аптека / Эстетическая косметология / Пептидный препарат;Пептидный препарат;другая ошибка;error_card_with_deleted_photos:0
971117570;200000035;Аптека / Эстетическая косметология / Набор для карбокситерапии;Набор для карбокситерапии;другая ошибка;error_card_with_deleted_photos:0
971117735;200000035;Аптека / Эстетическая косметология / Мультикомпонентный коктейль;Мультикомпонентный коктейль;фото отклонено;"DESCRIPTION_DECLINE:4194;DESCRIPTION_DECLINE:22507"
971117732;200000035;Аптека / Эстетическая косметология / Монопрепарат;Монопрепарат;другая ошибка;error_card_with_deleted_photos:0
971116755;200000035;Аптека / Эстетическая косметология / Биоревитализант;Биоревитализант;другая ошибка;error_card_with_deleted_photos:0
971306441;200000035;Аптека / Эстетическая косметология / Липолитик;Липолитик;другая ошибка;DESCRIPTION_DECLINE:22507
971913305;200000035;Аптека / Эстетическая косметология / Плацентарный препарат;Плацентарный препарат;не создано;
971913242;200000035;Аптека / Эстетическая косметология / Биорепарант;Биорепарант;не создано;
91825;200001540;Аптека / Медицинское оборудование / Облучатель медицинский;Облучатель медицинский;другая ошибка;error_card_with_deleted_photos:0
971293437;200001540;Аптека / Медицинское оборудование / Стерилизатор медицинский;Стерилизатор медицинский;другая ошибка;error_card_with_deleted_photos:0
970996038;200001540;Аптека / Медицинское оборудование / Светильник медицинский;Светильник медицинский;другая ошибка;error_card_with_deleted_photos:0
971116182;200001540;Аптека / Медицинское оборудование / Аппарат для анестезии, реанимации;Аппарат для анестезии, реанимации;другая ошибка;error_card_with_deleted_photos:0
971405118;200001540;Аптека / Медицинское оборудование / Стоматологическая установка;Стоматологическая установка;другая ошибка;error_card_with_deleted_photos:0
970996395;200001540;Аптека / Медицинское оборудование / Шприцевой дозатор;Шприцевой дозатор;другая ошибка;error_card_with_deleted_photos:0
971426428;200001540;Аптека / Медицинское оборудование / Насос медицинский;Насос медицинский;другая ошибка;error_card_with_deleted_photos:0
970710055;200001540;Аптека / Медицинское оборудование / Эндоскопическое оборудование;Эндоскопическое оборудование;другая ошибка;error_card_with_deleted_photos:0
630450955;200001540;Аптека / Медицинское оборудование / Офтальмодиагностическое оборудование;Офтальмодиагностическое оборудование;другая ошибка;error_card_with_deleted_photos:0
98395;200001540;Аптека / Медицинское оборудование / Кварцевая лампа;Кварцевая лампа;другая ошибка;error_card_with_deleted_photos:0
362877971;200001540;Аптека / Медицинское оборудование / Концентратор кислорода;Концентратор кислорода;другая ошибка;error_card_with_deleted_photos:0
971812043;200001540;Аптека / Медицинское оборудование / Офтальмологическое оборудование;Офтальмологическое оборудование;другая ошибка;error_card_with_deleted_photos:0
970886447;200001540;Аптека / Медицинское оборудование / Дыхательный тренажер;Дыхательный тренажер;фото отклонено;"DESCRIPTION_DECLINE:4194;DESCRIPTION_DECLINE:22507"
971134247;200001540;Аптека / Медицинское оборудование / Аппарат хирургический;Аппарат хирургический;другая ошибка;error_card_with_deleted_photos:0
970905531;200001540;Аптека / Медицинское оборудование / Аппарат УЗИ;Аппарат УЗИ;другая ошибка;error_card_with_deleted_photos:0
971115617;200001540;Аптека / Медицинское оборудование / Аудиологический аппарат;Аудиологический аппарат;не создано;
971115020;200001540;Аптека / Медицинское оборудование / Медицинский томограф;Медицинский томограф;другая ошибка;error_card_with_deleted_photos:0
971033374;200001540;Аптека / Медицинское оборудование / Аппарат ИВЛ;Аппарат ИВЛ;другая ошибка;INCORRECT_DIMENSION:0
971123329;200001540;Аптека / Медицинское оборудование / Расходник для анестезии, реанимации;Расходник для анестезии, реанимации;не создано;
971277630;200001540;Аптека / Медицинское оборудование / Запечатывающее устройство;Запечатывающее устройство;не создано;
971307418;200001540;Аптека / Медицинское оборудование / Учебное медицинское оборудование;Учебное медицинское оборудование;не создано;
255584722;200001540;Аптека / Медицинское оборудование / Аппарат для очистки, обогащения воды;Аппарат для очистки, обогащения воды;не создано;
504866198;200001540;Аптека / Медицинское оборудование / Лампа Вуда;Лампа Вуда;не создано;
971154622;200001540;Аптека / Медицинское оборудование / Холодильник, морозильник медицинский;Холодильник, морозильник медицинский;другая ошибка;error_card_with_deleted_photos:0
